name,census_year,population,occupied dwellings,Sector,Comm centre Point
ABBEYDALE,2000.0,6624.0,1954.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2001.0,6580.0,1967.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2002.0,6574.0,1963.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2003.0,6400.0,1961.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2004.0,6200.0,1925.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2005.0,6040.0,1922.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2006.0,6012.0,1932.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2007.0,6109.0,1944.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2008.0,6005.0,1939.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2009.0,6032.0,1934.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2010.0,5805.0,1895.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2011.0,5700.0,1903.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2012.0,5917.0,1972.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2013.0,6150.0,1972.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2014.0,6071.0,1982.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2015.0,6167.0,2009.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2016.0,5912.0,1969.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2017.0,6043.0,1963.0,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ACADIA,2000.0,10723.0,4676.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2001.0,11012.0,4862.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2002.0,11090.0,4880.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2003.0,11022.0,4868.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2004.0,10515.0,4736.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2005.0,10575.0,4784.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2006.0,10657.0,4879.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2007.0,10792.0,4910.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2008.0,10697.0,4848.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2009.0,10574.0,4776.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2010.0,10684.0,4797.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2011.0,10615.0,4848.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2012.0,10705.0,4838.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2013.0,11007.0,4879.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2014.0,10969.0,4884.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2015.0,11053.0,4870.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2016.0,10767.0,4742.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2017.0,10660.0,4738.0,SOUTH,"(50.972409209651765, -114.05369821963635)"
ALBERT PARK/RADISSON HEIGHTS,2000.0,6415.0,2414.0,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2001.0,6423.0,2424.0,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2002.0,6312.0,2405.0,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2003.0,6332.0,2445.0,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2004.0,6098.0,2384.0,EAST,"(51.04454101383472, -113.99678382147289)"
