name,census_year,population,occupied dwellings,Sector,Comm centre Point
ABBEYDALE,2000,6624,1954,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2001,6580,1967,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2002,6574,1963,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2003,6400,1961,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2004,6200,1925,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2005,6040,1922,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2006,6012,1932,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2007,6109,1944,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2008,6005,1939,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2009,6032,1934,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2010,5805,1895,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2011,5700,1903,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2012,5917,1972,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2013,6150,1972,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2014,6071,1982,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2015,6167,2009,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2016,5912,1969,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ABBEYDALE,2017,6043,1963,NORTHEAST,"(51.05952012318639, -113.92779391882777)"
ACADIA,2000,10723,4676,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2001,11012,4862,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2002,11090,4880,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2003,11022,4868,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2004,10515,4736,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2005,10575,4784,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2006,10657,4879,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2007,10792,4910,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2008,10697,4848,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2009,10574,4776,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2010,10684,4797,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2011,10615,4848,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2012,10705,4838,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2013,11007,4879,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2014,10969,4884,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2015,11053,4870,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2016,10767,4742,SOUTH,"(50.972409209651765, -114.05369821963635)"
ACADIA,2017,10660,4738,SOUTH,"(50.972409209651765, -114.05369821963635)"
ALBERT PARK/RADISSON HEIGHTS,2000,6415,2414,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2001,6423,2424,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2002,6312,2405,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2003,6332,2445,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2004,6098,2384,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2005,6031,2409,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2006,6221,2495,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2007,6353,2510,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2008,6192,2536,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2009,6047,2447,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2010,6029,2462,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2011,6217,2513,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2012,6234,2546,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2013,6094,2545,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2014,6529,2536,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2015,6611,2661,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2016,6673,2719,EAST,"(51.04454101383472, -113.99678382147289)"
ALBERT PARK/RADISSON HEIGHTS,2017,6745,2703,EAST,"(51.04454101383472, -113.99678382147289)"
ALTADORE,2000,6154,2764,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2001,6312,2892,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2002,6407,2972,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2003,6911,3278,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2004,7534,3602,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2005,7894,3817,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2006,8172,3960,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2007,8442,4008,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2008,8594,3981,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2009,8723,4037,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2010,8847,4026,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2011,8907,4038,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2012,9116,4140,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2013,9317,4172,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2014,9518,4200,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2015,9867,4223,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2016,6676,2848,CENTRE,"(51.0159484668834, -114.100794741538)"
ALTADORE,2017,6795,2871,CENTRE,"(51.0159484668834, -114.100794741538)"
APPLEWOOD PARK,2000,5232,1435,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2001,5269,1435,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2002,5407,1446,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2003,5448,1457,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2004,5628,1648,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2005,6025,1905,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2006,6155,1932,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2007,6066,1928,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2008,6127,1937,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2009,6379,1968,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2010,6361,1972,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2011,6404,1987,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2012,6498,2026,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2013,6745,2056,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2014,6864,2171,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2015,6863,2143,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2016,6764,2120,EAST,"(51.044981778174524, -113.92785764420194)"
APPLEWOOD PARK,2017,6921,2225,EAST,"(51.044981778174524, -113.92785764420194)"
ARBOUR LAKE,2000,7102,2504,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2001,8112,2854,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2002,9085,3198,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2003,9968,3496,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2004,10312,3620,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2005,10537,3726,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2006,10592,3732,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2007,10546,3752,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2008,10581,3741,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2009,10727,3826,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2010,10710,3821,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2011,10762,3790,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2012,10836,3855,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2013,10961,3829,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2014,10987,3875,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2015,10947,3879,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2016,10921,3874,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ARBOUR LAKE,2017,10713,3858,NORTHWEST,"(51.13263256556279, -114.2075783058964)"
ASPEN WOODS,2000,160,53,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2001,146,50,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2002,186,62,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2003,216,69,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2004,274,86,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2005,502,151,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2006,876,262,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2007,1406,413,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2008,2054,634,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2009,2860,917,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2010,3615,1194,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2011,4520,1537,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2012,5323,1778,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2013,6440,2076,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2014,7496,2385,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2015,8271,2636,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2016,9055,2792,WEST,"(51.045130968851, -114.207876270297)"
ASPEN WOODS,2017,9212,2875,WEST,"(51.045130968851, -114.207876270297)"
AUBURN BAY,2000,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2001,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2002,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2003,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2004,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2005,0,0,SOUTHEAST,"(50.892705346575, -113.957817281387)"
AUBURN BAY,2006,311,107,SOUTHEAST,"(50.892705346575, -113.957817281387)"
