COMMUNITY,2018,2019,2020,2021,2022,
BELTLINE,23825.21,24483.25,25141.28,25799.32,26457.35,DOWNTOWN
PANORAMA HILLS,26021.82,26122.06,26222.3,26322.54,26422.78,NORTHWEST
SADDLE RIDGE,21085.48,22196.22,23306.97,24417.71,25528.45,NORTHEAST
AUBURN BAY,18228.09,20029.04,21830,23630.96,25431.92,SOUTH EAST
EVANSTON,17470.26,19038.62,20606.97,22175.33,23743.69,NORTHWEST
EVERGREEN,21475.77,21514.25,21552.73,21591.21,21629.69,SOUTHWEST
CRANSTON,19112.84,19658.5,20204.17,20749.84,21295.51,SOUTH EAST
TUSCANY,19647.78,19636.63,19625.48,19614.33,19603.19,NORTHWEST
TARADALE,18989.23,19055.18,19121.13,19187.08,19253.03,NORTHEAST
COVENTRY HILLS,17669.27,17762.36,17855.45,17948.54,18041.63,NORTHEAST
MCKENZIE TOWNE,18094.27,18077.33,18060.38,18043.43,18026.48,SOUTH EAST
SKYVIEW RANCH,11508,12973,14438,15903,17368,NORTHEAST
MAHOGANY,9910.57,11374.08,12837.6,14301.11,15764.62,SOUTH EAST
NEW BRIGHTON,13114.87,13659.19,14203.51,14747.82,15292.14,SOUTH EAST
COPPERFIELD,13471.85,13923.2,14374.55,14825.91,15277.26,
EDGEMONT,15615.99,15531.31,15446.63,15361.94,15277.26,
MARTINDALE,14635.9,14535.04,14434.18,14333.32,14232.46,
SIGNAL HILL,13465.59,13397.28,13328.98,13260.67,13192.37,
DOUGLASDALE/GLEN,12821.41,12896.91,12972.41,13047.92,13123.42,
CHAPARRAL,12980.37,12993.62,13006.87,13020.12,13033.37,
MCKENZIE LAKE,13455.38,13302.55,13149.71,12996.87,12844.04,
HUNTINGTON HILLS,13074.24,12992.6,12910.96,12829.31,12747.67,
VARSITY,12537.18,12538.4,12539.61,12540.83,12542.05,
BRIDLEWOOD,12634.56,12573.71,12512.85,12452,12391.14,
NOLAN HILL,6537.2,7931.56,9325.93,10720.3,12114.66,
WHITEHORN,11952.82,11916.36,11879.9,11843.45,11806.99,
RUNDLE,11646.48,11665.43,11684.38,11703.32,11722.27,
ROYAL OAK,11657.99,11633.99,11609.99,11585.99,11561.99,
BEDDINGTON HEIGHTS,11635.19,11576.18,11517.17,11458.16,11399.15,
WEST SPRINGS,10275.25,10519.2,10763.16,11007.11,11251.06,
HIDDEN VALLEY,11614.29,11509.98,11405.68,11301.37,11197.07,
TEMPLE,11143.57,11125.74,11107.92,11090.09,11072.27,
ACADIA,10656.08,10652.17,10648.25,10644.34,10640.42,
BOWNESS,10841.3,10787.3,10733.29,10679.29,10625.28,
MONTEREY PARK,10655.66,10612.61,10569.56,10526.52,10483.47,
LAKE BONAVISTA,10423.11,10427.23,10431.34,10435.46,10439.57,
DOVER,10460.66,10423.18,10385.7,10348.23,10310.75,
FALCONRIDGE,10329.9,10298.18,10266.45,10234.72,10203,
ASPEN WOODS,9421.2,9612.7,9804.19,9995.68,10187.17,
SPRINGBANK HILL,10033.43,10061.79,10090.15,10118.51,10146.87,
ARBOUR LAKE,10586.48,10453.68,10320.88,10188.08,10055.28,
LEGACY,4901.61,6172.66,7443.7,8714.75,9985.8,
PINERIDGE,9717.17,9689.59,9662.01,9634.43,9606.84,
CITADEL,10159.69,9999.73,9839.76,9679.8,9519.83,
MARLBOROUGH,9248.59,9280.01,9311.43,9342.85,9374.27,
SUNDANCE,9847.87,9729.08,9610.29,9491.5,9372.71,
SHAWNESSY,9417.7,9395.4,9373.1,9350.8,9328.51,
SAGE HILL,6726.81,7355.85,7984.88,8613.92,9242.96,
HAWKWOOD,9437.42,9346.93,9256.44,9165.95,9075.46,
DALHOUSIE,9002.26,8989.23,8976.2,8963.17,8950.14,
RIVERBEND,9259.12,9180.15,9101.18,9022.21,8943.24,
DOWNTOWN COMMERCIAL CORE,8558.86,8638.91,8718.96,8799.01,8879.06,
ROCKY RIDGE,8474.68,8568.98,8663.28,8757.58,8851.88,
WALDEN,5479.27,6288.64,7098.01,7907.39,8716.76,
MARLBOROUGH PARK,8682.62,8687.09,8691.55,8696.02,8700.49,
SILVER SPRINGS,8699.23,8624.46,8549.69,8474.93,8400.16,
WOODBINE,8835.85,8723.18,8610.5,8497.82,8385.14,
SOMERSET,8514.01,8476.76,8439.51,8402.25,8365,
THORNCLIFFE,8429.74,8379.26,8328.78,8278.31,8227.83,
PENBROOKE MEADOWS,8283.12,8241.1,8199.08,8157.06,8115.03,
KILLARNEY/GLENGARRY,7543.32,7621.94,7700.55,7779.17,7857.78,
BRENTWOOD,7277.8,7422.66,7567.51,7712.36,7857.21,
